"","Date mutation","Nature mutation","Valeur fonciere","No voie","B/T/Q","Type de voie","Code voie","Voie","Code postal","Commune","Prefixe de section","Section","No plan","Code type local","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"6811","12/05/2020","Vente",8800000,7,NA,"RUE","0031","DES TERRES DE VENOSC",38860,"LES DEUX ALPES",NA,"AM",316,2,"Appartement",28,1,NA,NA,NA
"6812","24/06/2020","Vente",1e+07,635,NA,"RUE","0430","93 EME RAM",38750,"HUEZ",NA,"C",715,2,"Appartement",24,2,NA,NA,NA
"6813","25/06/2020","Vente",7090000,37,NA,"AV","0020","DE LA MUZELLE MT DE LANS",38860,"LES DEUX ALPES",NA,"AM",187,2,"Appartement",22,1,NA,NA,NA
"6814","03/07/2020","Vente",16500000,13,NA,"RTE","1290","DES VIERES",38250,"VILLARD-DE-LANS",NA,"AN",108,2,"Appartement",43,2,NA,NA,NA
"6815","23/06/2020","Vente",9150000,5492,NA,"RES","A035","ARC EN CIEL",38860,"LES DEUX ALPES",NA,"AI",379,2,"Appartement",23,2,NA,NA,NA
"6816","06/07/2020","Vente",38300000,73,NA,"ALL","1380","DU MONT AIGUILLE",38640,"CLAIX",NA,"BH",74,1,"Maison",123,5,NA,NA,NA
"6817","06/07/2020","Vente",11705000,5821,NA,NA,"B373","VILLARD LE HAUT",38250,"VILLARD-DE-LANS",NA,"AZ",101,2,"Appartement",46,2,NA,NA,NA
"6818","17/06/2020","Vente",1e+07,503,NA,"RUE","0355","DES PASSEAUX",38750,"HUEZ",NA,"C",767,2,"Appartement",22,2,NA,NA,NA
"6819","08/07/2020","Vente",1e+07,NA,NA,NA,"B179","LE ROYER",38114,"OZ",NA,"AD",224,2,"Appartement",168,1,NA,NA,NA
"6820","05/03/2020","Vente",24996000,5637,NA,NA,"B129","PETIT PLAN",38860,"LES DEUX ALPES",NA,"AI",39,2,"Appartement",43,3,NA,NA,NA
"6821","02/07/2020","Vente",3975000,327,NA,"RTE","0255","DE PIERRE BLANCHE",38650,"GRESSE-EN-VERCORS",NA,"AB",128,2,"Appartement",18,1,NA,NA,NA
"6822","20/05/2020","Vente",25200000,5,NA,"RUE","0062","DU SER PALOR",38860,"LES DEUX ALPES",534,"AB",983,2,"Appartement",40,2,NA,NA,NA
"6823","23/06/2020","Vente",4.8e+07,28,NA,"RUE","0022","DE DIDEYRE",38760,"VARCES-ALLIERES-ET-RISSET",NA,"AB",697,1,"Maison",140,4,NA,NA,NA
"6824","29/06/2020","Vente",3250000,183,NA,"CHE","0180","GARDE ROLLAND",38650,"GRESSE-EN-VERCORS",NA,"AC",15,2,"Appartement",28,2,NA,NA,NA
"6825","02/07/2020","Vente",4e+06,47,"B","AV","0090","ARISTIDE BRIAND",38600,"FONTAINE",NA,"AI",333,2,"Appartement",46,2,NA,NA,NA
"6826","25/06/2020","Vente",10500000,71,"B","CRS","0440","SAINT ANDRE",38800,"LE PONT-DE-CLAIX",NA,"AD",71,2,"Appartement",95,5,NA,NA,NA
"6827","30/06/2020","Vente",4550000,41,NA,"AV","0020","DE LA MUZELLE MT DE LANS",38860,"LES DEUX ALPES",NA,"AM",313,2,"Appartement",14,1,NA,NA,NA
"6828","24/06/2020","Vente",15200000,10,NA,"RUE","0060","DE SAINTE LUCE",38860,"LES DEUX ALPES",534,"AB",985,2,"Appartement",34,1,NA,NA,NA
"6829","02/07/2020","Vente",9760000,73,NA,"LOT","A060","LA COMBE DU CORNET",38880,"AUTRANS-MEAUDRE EN VERCORS",21,"AE",343,1,"Maison",80,4,"S",NA,1002
"6830","01/07/2020","Vente",14590000,112,NA,"AV","0053","DE LA MUZELLE DE VENOSC",38860,"LES DEUX ALPES",534,"AB",326,2,"Appartement",26,1,NA,NA,NA
"6831","16/06/2020","Vente",16200000,5200,NA,"RES","A030","LES ADELPHIES",38114,"OZ",NA,"AD",40,2,"Appartement",38,3,NA,NA,NA
"6832","26/06/2020","Vente",5950000,5210,NA,"RES","A010","LE BOIS GENTIL",38142,"AURIS",NA,"AC",19,2,"Appartement",23,2,NA,NA,NA
"6833","02/07/2020","Vente",18523000,4,NA,"RUE","0125","DES PARCS",38360,"SASSENAGE",NA,"BL",38,2,"Appartement",65,3,NA,NA,NA
"6834","15/07/2020","Vente",19600000,74,NA,"AV","0660","DU VERCORS",38170,"SEYSSINET-PARISET",NA,"B",141,2,"Appartement",82,4,NA,NA,NA
"6835","07/07/2020","Vente",6700000,5453,NA,NA,"B035","CLOS DE FONDS",38860,"LES DEUX ALPES",NA,"AK",384,2,"Appartement",19,1,NA,NA,NA
"6836","07/07/2020","Vente",6700000,5453,NA,NA,"B035","CLOS DE FONDS",38860,"LES DEUX ALPES",NA,"AK",384,2,"Appartement",14,1,NA,NA,NA
"6837","07/07/2020","Vente",1.9e+07,4,NA,"RUE","0094","ALPHONSE DE LAMARTINE",38360,"SASSENAGE",NA,"AS",326,2,"Appartement",59,3,NA,NA,NA
"6838","10/07/2020","Vente",28020000,2,NA,"RUE","0025","BEETHOVEN",38360,"SASSENAGE",NA,"BA",150,2,"Appartement",89,4,NA,NA,NA
"6839","26/06/2020","Vente",16180000,4,"A","AV","0020","DE LA MUZELLE MT DE LANS",38860,"LES DEUX ALPES",NA,"AI",93,2,"Appartement",32,2,NA,NA,NA
"6840","29/06/2020","Vente",21940000,5235,NA,NA,"B014","BERNARDIERE",38930,"CHICHILIANNE",NA,"H",1091,1,"Maison",163,6,"S",NA,1140
"6841","10/07/2020","Vente",3.3e+07,445,NA,"AV","0440","DU RIF NEL",38750,"HUEZ",NA,"AB",121,2,"Appartement",41,2,NA,NA,NA
"6842","15/07/2020","Vente",32300000,1290,NA,"RTE","0440","DU MAS",38250,"LANS-EN-VERCORS",NA,"A",742,2,"Appartement",120,4,NA,NA,NA
"6843","09/07/2020","Vente",16500000,5206,NA,NA,"B027","CHAMPLAS",38930,"CLELLES",NA,"AC",503,1,"Maison",87,4,"S",NA,1372
"6844","09/07/2020","Vente",16500000,5206,NA,NA,"B027","CHAMPLAS",38930,"CLELLES",NA,"AC",503,4,"Local industriel. commercial ou assimil<e9>",200,0,"S",NA,1372
"6845","26/06/2020","Vente",16500000,13,NA,"ALL","0601","DES SAGNETTES",38350,"LA MURE",NA,"AM",75,1,"Maison",136,8,"S",NA,618
"6846","03/07/2020","Vente",9410000,19,NA,"RUE","0058","DU ROUCHA",38860,"LES DEUX ALPES",534,"AB",953,2,"Appartement",25,2,NA,NA,NA
"6847","09/07/2020","Vente",12930000,30,"T","AV","0060","AMBROISE CROIZAT",38600,"FONTAINE",NA,"AP",256,2,"Appartement",75,4,NA,NA,NA
"6848","08/07/2020","Vente",31700000,36,NA,"RUE","0047","DE L EGLISE N D DES VIGNES",38360,"SASSENAGE",NA,"BK",80,1,"Maison",135,4,"S",NA,345
"6849","10/07/2020","Vente",3e+07,5217,NA,"CHE","0080","DE LA CHAPELLE",38750,"HUEZ",NA,"AD",203,2,"Appartement",35,2,NA,NA,NA
"6850","10/07/2020","Vente",3e+07,5217,NA,"CHE","0080","DE LA CHAPELLE",38750,"HUEZ",NA,"AD",203,4,"Local industriel. commercial ou assimil<e9>",45,0,NA,NA,NA
"6851","01/07/2020","Vente",12609000,3,NA,"RUE","0009","DES COTES BRUNES",38860,"LES DEUX ALPES",NA,"AL",507,2,"Appartement",32,2,NA,NA,NA
"6852","16/06/2020","Vente",1.15e+08,10,NA,"RUE","0760","DU COTEAU",38640,"CLAIX",NA,"BS",75,4,"Local industriel. commercial ou assimil<e9>",3561,0,NA,NA,NA
"6853","23/06/2020","Vente",5300000,5,NA,"IMP","0387","DU PONT",38520,"LE BOURG-D'OISANS",NA,"AK",456,1,"Maison",34,1,"S",NA,62
"6854","15/07/2020","Vente",17200000,11,NA,"AV","0560","JEAN JAURES",38600,"FONTAINE",NA,"AI",362,2,"Appartement",107,4,NA,NA,NA
"6855","15/07/2020","Vente",1.2e+07,3,NA,"RUE","0066","DES VIKINGS DE VENOSC",38860,"LES DEUX ALPES",534,"AE",466,2,"Appartement",47,2,NA,NA,NA
"6856","16/07/2020","Vente",3832000,88,NA,"IMP","0240","PERCE NEIGE",38650,"GRESSE-EN-VERCORS",NA,"AB",77,2,"Appartement",26,1,NA,NA,NA
"6857","01/07/2020","Vente",13905000,5,NA,"RUE","0009","DES COTES BRUNES",38860,"LES DEUX ALPES",NA,"AL",507,2,"Appartement",32,1,NA,NA,NA
"6858","15/07/2020","Vente",9e+06,107,NA,"RUE","0100","DU BREUIL",38710,"MENS",NA,"AK",284,2,"Appartement",59,3,"S",NA,99
"6859","15/07/2020","Vente",9e+06,107,NA,"RUE","0100","DU BREUIL",38710,"MENS",NA,"AK",284,2,"Appartement",46,2,"S",NA,99
"6860","24/06/2020","Vente",17800000,3,NA,"RUE","0197","DE LA PISSARDE",38760,"VARCES-ALLIERES-ET-RISSET",NA,"AD",1126,2,"Appartement",131,4,NA,NA,NA
"6861","10/07/2020","Vente",25837500,7,NA,NA,"B003","LE BASTION",38350,"LA MURE",NA,"AM",309,1,"Maison",126,5,"S",NA,862
"6862","15/07/2020","Vente",3.2e+07,364,NA,"AV","0690","DU 22 AOUT 1944",38350,"LA MURE",NA,"AE",198,4,"Local industriel. commercial ou assimil<e9>",616,0,"S",NA,3227
"6863","10/07/2020","Vente",3e+06,13,"B","RUE","0210","COTTE ROUGE",38350,"LA MURE",NA,"AH",1095,1,"Maison",93,3,"S",NA,73
"6864","16/07/2020","Vente",25657000,9,NA,NA,"B133","MAS DU PLAN",38520,"LE BOURG-D'OISANS",NA,"AS",180,1,"Maison",127,6,NA,NA,NA
"6865","01/07/2020","Vente",1.2e+07,500,NA,"RUE","0355","DES PASSEAUX",38750,"HUEZ",NA,"C",738,2,"Appartement",26,2,NA,NA,NA
"6866","23/06/2020","Vente",3e+06,8,NA,"RUE","0210","COTTE ROUGE",38350,"LA MURE",NA,"AH",604,1,"Maison",60,4,"S",NA,28
"6867","29/06/2020","Vente",4553000,4,"B","RUE","0192","JEAN MOULIN",38450,"VIF",NA,"AM",203,2,"Appartement",68,3,NA,NA,NA
"6868","03/07/2020","Vente",20805000,21,NA,"AV","0570","DE GRENOBLE",38180,"SEYSSINS",NA,"AE",57,2,"Appartement",80,4,NA,NA,NA
"6869","08/07/2020","Vente",7077500,178,NA,"RUE","1130","DU PROFESSEUR DEBRE",38250,"VILLARD-DE-LANS",NA,"AT",127,2,"Appartement",22,1,NA,NA,NA
"6870","22/06/2020","Vente",14300000,1904,NA,"AV","0690","DU 22 AOUT 1944",38350,"LA MURE",NA,"AB",17,2,"Appartement",117,5,NA,NA,NA
"6871","10/07/2020","Vente",21056000,7,NA,"AV","0090","ARISTIDE BRIAND",38600,"FONTAINE",NA,"AI",648,2,"Appartement",93,4,NA,NA,NA
"6872","13/07/2020","Vente",3.5e+07,2,NA,"RUE","0055","DE L OISANS",38860,"LES DEUX ALPES",534,"AE",498,4,"Local industriel. commercial ou assimil<e9>",115,0,NA,NA,NA
"6873","21/07/2020","Vente",24500000,167,NA,"BD","0600","JOLIOT CURIE",38600,"FONTAINE",NA,"AD",153,1,"Maison",95,5,NA,NA,NA
"6874","10/07/2020","Vente",5462500,5190,NA,"RES","A040","LES CHARDONS",38142,"AURIS",NA,"AC",29,2,"Appartement",24,1,NA,NA,NA
"6875","16/07/2020","Vente",8e+06,7,NA,"ALL","0063","DU BOIS JOLI",38800,"LE PONT-DE-CLAIX",NA,"AD",123,2,"Appartement",63,3,NA,NA,NA
